Date,Day,Time,Customer ID,Name,Age,Gender,Mail ID,Product bought,Size,Sub-category,Category,Actual Price (INR),Discount Percentage,Discount Type,Payment mode,Review,Returned Status,Discount Amount,Revenue,Year,Month,Discount Applied
2024-10-10,Thursday,13:13:00,CUST0152,Mohanlal Luthra,26.0,Female,mohanlalluthra26152@gmail.com,Sneakers,L,Footwear,Shoes,6000.0,25.0,DiwaliOffer,CASH,Superb fit and feel,Exchange,1500.0,4500.0,2024,10,Yes
2024-03-07,Thursday,17:51:00,CUST0262,Vidur Sachar,33.0,Female,vidursachar33262@gmail.com,Barcelona T-shirt,S,Casual tshirt,Tshirts,1400.0,0.0,NoDiscount,UPI,Stitching quality is poor,Kept,0.0,1400.0,2024,3,No
2024-03-30,Saturday,14:08:00,CUST0215,Pari Sen,41.0,Male,parisen41215@gmail.com,Sports Shoes,Free,Footwear,Shoes,2800.0,0.0,NoDiscount,CASH,Perfect for daily wear,Kept,0.0,2800.0,2024,3,No
2024-08-19,Monday,17:39:00,CUST0145,Reyansh Kalla,43.0,Female,reyanshkalla43145@gmail.com,Barcelona T-shirt,XXL,Casual tshirt,Tshirts,1600.0,0.0,NoDiscount,UPI,Fits well and comfortable,Exchange,0.0,1600.0,2024,8,No
2024-07-24,Wednesday,16:06:00,CUST0305,Aaina Sridhar,48.0,Male,aainasridhar48305@gmail.com,Repel T-shirt,S,Casual tshirt,Tshirts,2400.0,0.0,NoDiscount,UPI,Colour faded after wash,Kept,0.0,2400.0,2024,7,No
2024-11-15,Friday,18:35:00,CUST0069,Gatik Manda,50.0,Male,gatikmanda5069@gmail.com,Running Shoes,XXL,Footwear,Shoes,4900.0,0.0,NoDiscount,CARD,Very stylish,Kept,0.0,4900.0,2024,11,No
2024-12-25,Wednesday,12:41:00,CUST0146,Sahil Gara,60.0,Male,sahilgara60146@gmail.com,Joggers,Free,Bottomwear,Jeans,2800.0,0.0,NoDiscount,UPI,Very stylish,Kept,0.0,2800.0,2024,12,No
2024-08-20,Tuesday,15:46:00,CUST0183,Azad Ramachandran,33.0,Male,azadramachandran33183@gmail.com,Sportswear Club Fleece T-shirt,L,Casual tshirt,Tshirts,2100.0,0.0,NoDiscount,UPI,"Loved it, will buy again",Exchange,0.0,2100.0,2024,8,No
2024-02-04,Sunday,12:05:00,CUST0228,Rania Zacharia,31.0,Female,raniazacharia31228@gmail.com,Sportswear T-shirt,Free,Casual tshirt,Tshirts,2200.0,27.0,ValentineDayOffer,UPI,Stitching quality is poor,Exchange,594.0,1606.0,2024,2,Yes
2024-10-14,Monday,14:07:00,CUST0392,Advika Kata,29.0,Male,advikakata29392@gmail.com,Barcelona T-shirt,XL,Casual tshirt,Tshirts,2300.0,43.0,DiwaliOffer,CARD,Excellent product!,Kept,989.0,1311.0,2024,10,Yes
2024-10-22,Tuesday,17:09:00,CUST0099,Tara Rao,35.0,Male,tararao3599@gmail.com,Skinny Jeans,S,Bottomwear,Jeans,2000.0,32.0,DiwaliOffer,CASH,Stitching quality is poor,Kept,640.0,1360.0,2024,10,Yes
2024-08-07,Wednesday,20:49:00,CUST0257,Navya Seth,33.0,Female,navyaseth33257@gmail.com,Sports Shoes,XXL,Footwear,Shoes,6700.0,0.0,NoDiscount,CASH,Fits well and comfortable,Kept,0.0,6700.0,2024,8,No
2024-12-25,Wednesday,19:58:00,CUST0296,Zeeshan Singh,48.0,Male,zeeshansingh48296@gmail.com,Dri-FIT T-shirt,M,Casual tshirt,Tshirts,2300.0,0.0,NoDiscount,CASH,Colour faded after wash,Kept,0.0,2300.0,2024,12,No
2024-11-20,Wednesday,21:05:00,CUST0023,Hrishita Gala,53.0,Male,hrishitagala5323@gmail.com,Sneakers,XL,Footwear,Shoes,4400.0,0.0,NoDiscount,CASH,Excellent product!,Kept,0.0,4400.0,2024,11,No
2024-10-17,Thursday,17:56:00,CUST0303,Stuvan Shroff,57.0,Male,stuvanshroff57303@gmail.com,Pro T-shirt,XXL,Casual tshirt,Tshirts,1300.0,0.0,NoDiscount,CASH,"Loved it, will buy again",Kept,0.0,1300.0,2024,10,No
2024-11-06,Wednesday,16:17:00,CUST0085,Indrajit Chaudhari,31.0,Female,indrajitchaudhari3185@gmail.com,Total 90 T-shirt,S,Casual tshirt,Tshirts,1600.0,0.0,NoDiscount,CARD,"Loved it, will buy again",Kept,0.0,1600.0,2024,11,No
2024-09-26,Thursday,18:02:00,CUST0032,Jivin Baria,28.0,Female,jivinbaria2832@gmail.com,Academy T-shirt,S,Casual tshirt,Tshirts,1200.0,0.0,NoDiscount,UPI,Could be better,Kept,0.0,1200.0,2024,9,No
2024-05-10,Friday,14:07:00,CUST0474,Charvi Deep,42.0,Female,charvideep42474@gmail.com,Sportswear Club Fleece T-shirt,M,Casual tshirt,Tshirts,1400.0,22.0,SummerSale,CARD,Perfect for daily wear,Return,308.0,1092.0,2024,5,Yes
2024-06-30,Sunday,11:55:00,CUST0482,Jivika Char,34.0,Female,jivikachar34482@gmail.com,Running Shoes,S,Footwear,Shoes,4600.0,0.0,NoDiscount,CASH,Stitching quality is poor,Kept,0.0,4600.0,2024,6,No
2024-07-26,Friday,18:26:00,CUST0404,Piya Talwar,35.0,Male,piyatalwar35404@gmail.com,Sportswear Club Fleece T-shirt,S,Casual tshirt,Tshirts,2500.0,0.0,NoDiscount,CARD,Material feels cheap,Return,0.0,2500.0,2024,7,No
2024-07-04,Thursday,12:54:00,CUST0152,Mohanlal Luthra,26.0,Female,mohanlalluthra26152@gmail.com,Sportswear Club Fleece T-shirt,XXL,Casual tshirt,Tshirts,1700.0,0.0,NoDiscount,CASH,Size runs a bit small,Kept,0.0,1700.0,2024,7,No
2024-06-19,Wednesday,19:04:00,CUST0048,Ela Tank,27.0,Female,elatank2748@gmail.com,Formal White Shirt,XXL,Formal shirts,Shirts,2700.0,52.0,Clearance,CASH,Size runs a bit small,Exchange,1404.0,1296.0,2024,6,Yes
2024-11-26,Tuesday,19:15:00,CUST0342,Arnav Shah,23.0,Male,arnavshah23342@gmail.com,ACG T-shirt,M,Casual tshirt,Tshirts,1400.0,0.0,NoDiscount,CARD,Colour faded after wash,Kept,0.0,1400.0,2024,11,No
2024-11-17,Sunday,16:48:00,CUST0220,Ivan Kala,60.0,Female,ivankala60220@gmail.com,Joggers,XL,Bottomwear,Jeans,2500.0,0.0,NoDiscount,CARD,"Loved it, will buy again",Exchange,0.0,2500.0,2024,11,No
2024-06-14,Friday,20:40:00,CUST0061,Neysa Bandi,51.0,Female,neysabandi5161@gmail.com,Repel T-shirt,S,Casual tshirt,Tshirts,1800.0,47.0,Clearance,CARD,Fits well and comfortable,Kept,846.0,954.0,2024,6,Yes
2024-02-07,Wednesday,14:28:00,CUST0247,Shamik Maharaj,32.0,Female,shamikmaharaj32247@gmail.com,Tech Fleece T-shirt,L,Casual tshirt,Tshirts,1300.0,12.0,ValentineDayOffer,CARD,Stitching quality is poor,Kept,156.0,1144.0,2024,2,Yes
2024-08-24,Saturday,17:50:00,CUST0017,Chirag Kanda,42.0,Male,chiragkanda4217@gmail.com,Sports Shoes,XL,Footwear,Shoes,6600.0,0.0,NoDiscount,UPI,Too tight around shoulders,Kept,0.0,6600.0,2024,8,No
2024-09-13,Friday,12:03:00,CUST0454,Jayan Sarma,44.0,Female,jayansarma44454@gmail.com,Tech Fleece T-shirt,Free,Casual tshirt,Tshirts,1300.0,0.0,NoDiscount,UPI,Not as expected,Kept,0.0,1300.0,2024,9,No
2024-08-12,Monday,17:39:00,CUST0129,Ryan Srinivasan,36.0,Male,ryansrinivasan36129@gmail.com,Tech Fleece T-shirt,L,Casual tshirt,Tshirts,1700.0,0.0,NoDiscount,CARD,Stitching quality is poor,Kept,0.0,1700.0,2024,8,No
2024-11-19,Tuesday,18:04:00,CUST0331,Pranay Rattan,23.0,Male,pranayrattan23331@gmail.com,Total 90 T-shirt,Free,Casual tshirt,Tshirts,1700.0,0.0,NoDiscount,CARD,Stitching quality is poor,Return,0.0,1700.0,2024,11,No
2024-06-19,Wednesday,11:42:00,CUST0155,Mohanlal Deep,28.0,Female,mohanlaldeep28155@gmail.com,Tech Fleece T-shirt,L,Casual tshirt,Tshirts,2500.0,55.0,Clearance,UPI,Stitching quality is poor,Kept,1375.0,1125.0,2024,6,Yes
2024-02-13,Tuesday,14:24:00,CUST0260,Ayesha Ray,35.0,Male,ayesharay35260@gmail.com,Cargo Pants,M,Bottomwear,Jeans,2500.0,26.0,ValentineDayOffer,UPI,"Loved it, will buy again",Kept,650.0,1850.0,2024,2,Yes
2024-09-17,Tuesday,15:23:00,CUST0273,Taimur Dhar,42.0,Female,taimurdhar42273@gmail.com,Jordan Brand T-shirt,L,Casual tshirt,Tshirts,2400.0,0.0,NoDiscount,UPI,"Good quality, worth the price",Kept,0.0,2400.0,2024,9,No
2024-05-31,Friday,20:06:00,CUST0092,Myra Tripathi,55.0,Male,myratripathi5592@gmail.com,Checked Shirt,Free,Formal shirts,Shirts,3300.0,0.0,NoDiscount,CASH,Could be better,Kept,0.0,3300.0,2024,5,No
2024-11-01,Friday,15:10:00,CUST0484,Miraan Sem,59.0,Female,miraansem59484@gmail.com,Academy T-shirt,M,Casual tshirt,Tshirts,2100.0,0.0,NoDiscount,CASH,"Loved it, will buy again",Kept,0.0,2100.0,2024,11,No
2024-08-15,Thursday,17:48:00,CUST0387,Ranbir Doshi,37.0,Female,ranbirdoshi37387@gmail.com,Running Shoes,M,Footwear,Shoes,4900.0,0.0,NoDiscount,CASH,Superb fit and feel,Kept,0.0,4900.0,2024,8,No
2024-12-13,Friday,21:28:00,CUST0469,Misha Barad,30.0,Female,mishabarad30469@gmail.com,ACG T-shirt,XL,Casual tshirt,Tshirts,1900.0,0.0,NoDiscount,UPI,Superb fit and feel,Kept,0.0,1900.0,2024,12,No
2024-11-05,Tuesday,12:16:00,CUST0447,Pari Guha,53.0,Female,pariguha53447@gmail.com,Repel T-shirt,L,Casual tshirt,Tshirts,1900.0,0.0,NoDiscount,CARD,Superb fit and feel,Kept,0.0,1900.0,2024,11,No
2024-02-12,Monday,19:17:00,CUST0298,Jayesh Deshpande,40.0,Male,jayeshdeshpande40298@gmail.com,Total 90 T-shirt,M,Casual tshirt,Tshirts,2300.0,0.0,NoDiscount,UPI,Superb fit and feel,Kept,0.0,2300.0,2024,2,No
2024-06-27,Thursday,20:26:00,CUST0460,Damini Kaul,44.0,Female,daminikaul44460@gmail.com,Total 90 T-shirt,L,Casual tshirt,Tshirts,1500.0,53.0,Clearance,UPI,Fits well and comfortable,Kept,795.0,705.0,2024,6,Yes
2024-02-20,Tuesday,20:41:00,CUST0044,Vihaan Ganesan,35.0,Female,vihaanganesan3544@gmail.com,Pro T-shirt,M,Casual tshirt,Tshirts,1200.0,25.0,ValentineDayOffer,CARD,Superb fit and feel,Kept,300.0,900.0,2024,2,Yes
2024-12-27,Friday,16:39:00,CUST0097,Adah Comar,20.0,Male,adahcomar2097@gmail.com,Sportswear T-shirt,S,Casual tshirt,Tshirts,1500.0,0.0,NoDiscount,CARD,Size runs a bit small,Kept,0.0,1500.0,2024,12,No
2024-08-04,Sunday,12:18:00,CUST0022,Tanya Kala,42.0,Male,tanyakala4222@gmail.com,Sportswear T-shirt,S,Casual tshirt,Tshirts,1500.0,0.0,NoDiscount,CARD,Material feels cheap,Kept,0.0,1500.0,2024,8,No
2024-09-12,Thursday,17:01:00,CUST0162,Himmat Tara,53.0,Male,himmattara53162@gmail.com,Joggers,M,Bottomwear,Jeans,2600.0,0.0,NoDiscount,UPI,Stitching quality is poor,Kept,0.0,2600.0,2024,9,No
2024-10-19,Saturday,16:42:00,CUST0194,Jivika Seshadri,32.0,Female,jivikaseshadri32194@gmail.com,Joggers,L,Bottomwear,Jeans,1600.0,57.0,DiwaliOffer,CARD,Perfect for daily wear,Kept,911.9999999999999,688.0000000000001,2024,10,Yes
2024-08-28,Wednesday,10:24:00,CUST0135,Pihu Deshmukh,29.0,Male,pihudeshmukh29135@gmail.com,Socks,Free,Accessories,Accessories,300.0,0.0,NoDiscount,CASH,Not as expected,Kept,0.0,300.0,2024,8,No
2024-11-17,Sunday,12:37:00,CUST0414,Priyansh Shroff,45.0,Male,priyanshshroff45414@gmail.com,Sandals,M,Footwear,Shoes,2700.0,0.0,NoDiscount,CARD,"Good quality, worth the price",Return,0.0,2700.0,2024,11,No
2024-12-16,Monday,16:44:00,CUST0178,Hazel Sampath,41.0,Male,hazelsampath41178@gmail.com,Pro T-shirt,M,Casual tshirt,Tshirts,1300.0,0.0,NoDiscount,CASH,Fits well and comfortable,Kept,0.0,1300.0,2024,12,No
2024-01-23,Tuesday,19:56:00,CUST0140,Onkar Bhalla,57.0,Male,onkarbhalla57140@gmail.com,ACG T-shirt,XXL,Casual tshirt,Tshirts,1700.0,35.0,NewYearSale,CASH,Fits well and comfortable,Kept,595.0,1105.0,2024,1,Yes
2024-04-07,Sunday,14:55:00,CUST0271,Kaira Goel,44.0,Female,kairagoel44271@gmail.com,Sandals,L,Footwear,Shoes,3100.0,0.0,NoDiscount,CASH,Size runs a bit small,Kept,0.0,3100.0,2024,4,No
2024-07-16,Tuesday,15:11:00,CUST0070,Manjari Kuruvilla,58.0,Male,manjarikuruvilla5870@gmail.com,Repel T-shirt,L,Casual tshirt,Tshirts,2400.0,35.0,Clearance,CARD,Very stylish,Kept,840.0,1560.0,2024,7,Yes
2024-11-04,Monday,21:11:00,CUST0401,Ritvik Sura,45.0,Male,ritviksura45401@gmail.com,Slim Fit Shirt,S,Formal shirts,Shirts,1900.0,0.0,NoDiscount,CASH,Material feels cheap,Kept,0.0,1900.0,2024,11,No
2024-08-06,Tuesday,12:28:00,CUST0037,Kabir Agrawal,52.0,Male,kabiragrawal5237@gmail.com,Dri-FIT T-shirt,Free,Casual tshirt,Tshirts,2300.0,0.0,NoDiscount,CASH,Excellent product!,Kept,0.0,2300.0,2024,8,No
2024-01-30,Tuesday,11:40:00,CUST0493,Yuvraj  Bhatti,46.0,Male,yuvrajbhatti46493@gmail.com,Total 90 T-shirt,Free,Casual tshirt,Tshirts,2100.0,24.0,NewYearSale,CARD,"Loved it, will buy again",Kept,504.0,1596.0,2024,1,Yes
2024-01-18,Thursday,12:15:00,CUST0386,Anya Jani,37.0,Female,anyajani37386@gmail.com,Sandals,L,Footwear,Shoes,4200.0,39.0,NewYearSale,UPI,"Loved it, will buy again",Kept,1638.0,2562.0,2024,1,Yes
2024-07-08,Monday,15:48:00,CUST0099,Tara Rao,35.0,Male,tararao3599@gmail.com,Pro T-shirt,XXL,Casual tshirt,Tshirts,1700.0,0.0,NoDiscount,CASH,Not as expected,Exchange,0.0,1700.0,2024,7,No
2024-01-14,Sunday,19:31:00,CUST0002,Rati Kurian,26.0,Male,ratikurian262@gmail.com,Checked Shirt,S,Formal shirts,Shirts,2200.0,0.0,NoDiscount,CASH,Not as expected,Exchange,0.0,2200.0,2024,1,No
2024-05-26,Sunday,18:31:00,CUST0407,Sara Dua,56.0,Female,saradua56407@gmail.com,Pro T-shirt,S,Casual tshirt,Tshirts,1800.0,29.0,SummerSale,UPI,Could be better,Kept,522.0,1278.0,2024,5,Yes
2024-06-12,Wednesday,18:45:00,CUST0353,Ivan Sastry,40.0,Female,ivansastry40353@gmail.com,Total 90 T-shirt,L,Casual tshirt,Tshirts,2400.0,70.0,Clearance,UPI,Could be better,Kept,1680.0,720.0,2024,6,Yes
2024-04-24,Wednesday,12:12:00,CUST0364,Jiya Tailor,41.0,Male,jiyatailor41364@gmail.com,Sneakers,XL,Footwear,Shoes,2600.0,26.0,SummerSale,CASH,Could be better,Exchange,676.0,1924.0,2024,4,Yes
2024-03-07,Thursday,18:05:00,CUST0385,Saanvi Dutt,46.0,Female,saanvidutt46385@gmail.com,Sportswear Club Fleece T-shirt,Free,Casual tshirt,Tshirts,2100.0,39.0,SummerSale,CASH,Superb fit and feel,Kept,819.0,1281.0,2024,3,Yes
2024-03-05,Tuesday,21:41:00,CUST0037,Kabir Agrawal,52.0,Male,kabiragrawal5237@gmail.com,Repel T-shirt,Free,Casual tshirt,Tshirts,1900.0,0.0,NoDiscount,CARD,"Loved it, will buy again",Kept,0.0,1900.0,2024,3,No
2024-03-07,Thursday,16:58:00,CUST0179,Divij Grover,45.0,Male,divijgrover45179@gmail.com,Hoodie,XXL,Outerwear,Jackets,2500.0,0.0,NoDiscount,CASH,Size runs a bit small,Kept,0.0,2500.0,2024,3,No
2024-09-22,Sunday,20:54:00,CUST0057,Samar Doshi,58.0,Male,samardoshi5857@gmail.com,Jordan Brand T-shirt,Free,Casual tshirt,Tshirts,2400.0,0.0,NoDiscount,CARD,Excellent product!,Kept,0.0,2400.0,2024,9,No
2024-02-17,Saturday,17:10:00,CUST0431,Zaina Suresh,53.0,Female,zainasuresh53431@gmail.com,Joggers,M,Bottomwear,Jeans,1800.0,29.0,ValentineDayOffer,CASH,Superb fit and feel,Exchange,522.0,1278.0,2024,2,Yes
2024-01-22,Monday,19:01:00,CUST0311,Ojas Lata,24.0,Female,ojaslata24311@gmail.com,Barcelona T-shirt,XXL,Casual tshirt,Tshirts,1500.0,0.0,NoDiscount,CARD,Very stylish,Kept,0.0,1500.0,2024,1,No
2024-01-16,Tuesday,16:40:00,CUST0165,Keya Johal,39.0,Male,keyajohal39165@gmail.com,Checked Shirt,L,Formal shirts,Shirts,2600.0,41.0,NewYearSale,CASH,Excellent product!,Kept,1066.0,1534.0,2024,1,Yes
2024-12-18,Wednesday,11:28:00,CUST0031,Chirag Sharma,47.0,Female,chiragsharma4731@gmail.com,Repel T-shirt,M,Casual tshirt,Tshirts,1600.0,0.0,NoDiscount,CARD,Too tight around shoulders,Kept,0.0,1600.0,2024,12,No
2024-06-25,Tuesday,21:08:00,CUST0155,Mohanlal Deep,28.0,Female,mohanlaldeep28155@gmail.com,Sports Shoes,L,Footwear,Shoes,3600.0,0.0,NoDiscount,CASH,Not as expected,Kept,0.0,3600.0,2024,6,No
2024-01-26,Friday,14:24:00,CUST0162,Himmat Tara,53.0,Male,himmattara53162@gmail.com,Denim Jacket,M,Outerwear,Jackets,4900.0,46.0,NewYearSale,CASH,Stitching quality is poor,Kept,2254.0,2646.0,2024,1,Yes
2024-04-07,Sunday,19:31:00,CUST0364,Jiya Tailor,41.0,Male,jiyatailor41364@gmail.com,Wristband,XL,Accessories,Accessories,1800.0,0.0,NoDiscount,UPI,Very stylish,Kept,0.0,1800.0,2024,4,No
2024-05-03,Friday,13:22:00,CUST0318,Anahi Bahl,40.0,Male,anahibahl40318@gmail.com,ACG T-shirt,XL,Casual tshirt,Tshirts,2000.0,36.0,SummerSale,CASH,Excellent product!,Kept,720.0,1280.0,2024,5,Yes
2024-02-25,Sunday,16:56:00,CUST0443,Anaya Borde,36.0,Male,anayaborde36443@gmail.com,Tech Fleece T-shirt,XL,Casual tshirt,Tshirts,1700.0,0.0,NoDiscount,CARD,Perfect for daily wear,Kept,0.0,1700.0,2024,2,No
2024-10-10,Thursday,14:24:00,CUST0236,Nirvaan Madan,37.0,Male,nirvaanmadan37236@gmail.com,Checked Shirt,L,Formal shirts,Shirts,3200.0,32.0,DiwaliOffer,UPI,Colour faded after wash,Kept,1024.0,2176.0,2024,10,Yes
2024-06-22,Saturday,17:23:00,CUST0059,Diya Rana,42.0,Male,diyarana4259@gmail.com,Sneakers,XXL,Footwear,Shoes,4800.0,32.0,Clearance,UPI,"Good quality, worth the price",Kept,1536.0,3264.0,2024,6,Yes
2024-08-30,Friday,17:09:00,CUST0356,Aaina Basak,25.0,Male,aainabasak25356@gmail.com,Joggers,M,Bottomwear,Jeans,2000.0,0.0,NoDiscount,UPI,Very stylish,Exchange,0.0,2000.0,2024,8,No
2024-06-02,Sunday,17:32:00,CUST0380,Uthkarsh Gokhale,54.0,Male,uthkarshgokhale54380@gmail.com,Running Shoes,Free,Footwear,Shoes,5000.0,0.0,NoDiscount,UPI,Too tight around shoulders,Kept,0.0,5000.0,2024,6,No
2024-02-26,Monday,21:37:00,CUST0280,Bhamini Varghese,35.0,Male,bhaminivarghese35280@gmail.com,Barcelona T-shirt,S,Casual tshirt,Tshirts,2000.0,0.0,NoDiscount,CARD,Could be better,Exchange,0.0,2000.0,2024,2,No
2024-10-23,Wednesday,17:46:00,CUST0385,Saanvi Dutt,46.0,Female,saanvidutt46385@gmail.com,Repel T-shirt,M,Casual tshirt,Tshirts,1900.0,49.0,DiwaliOffer,UPI,Superb fit and feel,Kept,931.0,969.0,2024,10,Yes
2024-01-17,Wednesday,17:44:00,CUST0246,Hansh Chand,24.0,Male,hanshchand24246@gmail.com,Dri-FIT T-shirt,XL,Casual tshirt,Tshirts,1600.0,0.0,NoDiscount,CARD,Not as expected,Kept,0.0,1600.0,2024,1,No
2024-11-09,Saturday,20:55:00,CUST0261,Dharmajan Kumer,22.0,Female,dharmajankumer22261@gmail.com,Sports Shoes,Free,Footwear,Shoes,3100.0,0.0,NoDiscount,CASH,"Loved it, will buy again",Kept,0.0,3100.0,2024,11,No
2024-07-11,Thursday,14:11:00,CUST0213,Vardaniya Walia,45.0,Male,vardaniyawalia45213@gmail.com,Total 90 T-shirt,L,Casual tshirt,Tshirts,1900.0,46.0,Clearance,CARD,Material feels cheap,Kept,874.0,1026.0,2024,7,Yes
2024-05-06,Monday,14:19:00,CUST0012,Eshani Brahmbhatt,18.0,Female,eshanibrahmbhatt1812@gmail.com,ACG T-shirt,L,Casual tshirt,Tshirts,2100.0,30.0,SummerSale,CASH,Material feels cheap,Kept,630.0,1470.0,2024,5,Yes
2024-05-20,Monday,14:36:00,CUST0053,Shamik Gokhale,41.0,Female,shamikgokhale4153@gmail.com,Cargo Pants,XL,Bottomwear,Jeans,2700.0,40.0,SummerSale,UPI,Excellent product!,Kept,1080.0,1620.0,2024,5,Yes
2024-12-31,Tuesday,11:59:00,CUST0015,Vidur Deshmukh,31.0,Male,vidurdeshmukh3115@gmail.com,ACG T-shirt,Free,Casual tshirt,Tshirts,1800.0,0.0,NoDiscount,CARD,Excellent product!,Exchange,0.0,1800.0,2024,12,No
2024-12-22,Sunday,14:06:00,CUST0318,Anahi Bahl,40.0,Male,anahibahl40318@gmail.com,Joggers,M,Bottomwear,Jeans,1900.0,0.0,NoDiscount,CARD,Not as expected,Kept,0.0,1900.0,2024,12,No
2024-01-27,Saturday,12:21:00,CUST0157,Myra Bahl,57.0,Female,myrabahl57157@gmail.com,Sports Shoes,Free,Footwear,Shoes,6000.0,0.0,NoDiscount,CARD,"Good quality, worth the price",Kept,0.0,6000.0,2024,1,No
2024-08-31,Saturday,16:12:00,CUST0254,Biju Mangal,53.0,Female,bijumangal53254@gmail.com,Sandals,L,Footwear,Shoes,3800.0,0.0,NoDiscount,UPI,"Loved it, will buy again",Kept,0.0,3800.0,2024,8,No
2024-09-30,Monday,19:54:00,CUST0453,Zoya Dugal,50.0,Female,zoyadugal50453@gmail.com,Bomber Jacket,XL,Outerwear,Jackets,4600.0,0.0,NoDiscount,UPI,Superb fit and feel,Kept,0.0,4600.0,2024,9,No
2024-09-10,Tuesday,13:47:00,CUST0124,Mannat Suri,42.0,Male,mannatsuri42124@gmail.com,Socks,S,Accessories,Accessories,300.0,0.0,NoDiscount,UPI,Too tight around shoulders,Kept,0.0,300.0,2024,9,No
